Comparison,Codec,Preset,Sequence,Crf,Real_bitrate,Subjective,Video_name
2018,vitec_v3,mv_fast,ducks_take_off_sh,4000,0,5.785756502113102,enc_res_vitec_v3_mv_fast_ducks_take_off_sh_4000
2018,divx,mv_ripping,mountain_bike_sh,1000,0,2.755375605149188,enc_res_divx_mv_ripping_mountain_bike_sh_1000
2018,divx,mv_ripping,mountain_bike_sh,2000,0,3.4597952721079026,enc_res_divx_mv_ripping_mountain_bike_sh_2000
2018,divx,mv_ripping,mountain_bike_sh,4000,0,3.5086868413973025,enc_res_divx_mv_ripping_mountain_bike_sh_4000
2018,huawei1,mv_ripping,mountain_bike_sh,1000,0,0.0,enc_res_huawei1_mv_ripping_mountain_bike_sh_1000
2018,huawei1,mv_ripping,mountain_bike_sh,2000,0,0.0,enc_res_huawei1_mv_ripping_mountain_bike_sh_2000
2018,huawei1,mv_ripping,mountain_bike_sh,4000,0,0.0,enc_res_huawei1_mv_ripping_mountain_bike_sh_4000
2018,huawei2,mv_ripping,mountain_bike_sh,1000,0,2.7264311734366102,enc_res_huawei2_mv_ripping_mountain_bike_sh_1000
2018,huawei2,mv_ripping,mountain_bike_sh,2000,0,3.1426347161706194,enc_res_huawei2_mv_ripping_mountain_bike_sh_2000
2018,huawei2,mv_ripping,mountain_bike_sh,4000,0,3.3880141586763406,enc_res_huawei2_mv_ripping_mountain_bike_sh_4000
2018,intel_mfx_sw,mv_ripping,mountain_bike_sh,1000,0,2.83182113526018,enc_res_intel_mfx_sw_mv_ripping_mountain_bike_sh_1000
2018,intel_mfx_sw,mv_ripping,mountain_bike_sh,2000,0,3.2195107043559283,enc_res_intel_mfx_sw_mv_ripping_mountain_bike_sh_2000
2018,intel_mfx_sw,mv_ripping,mountain_bike_sh,4000,0,3.570603334472295,enc_res_intel_mfx_sw_mv_ripping_mountain_bike_sh_4000
2018,intel_svt_hevc,mv_ripping,mountain_bike_sh,1000,0,1.5512828497157187,enc_res_intel_svt_hevc_mv_ripping_mountain_bike_sh_1000
2018,intel_svt_hevc,mv_ripping,mountain_bike_sh,2000,0,2.706144584389348,enc_res_intel_svt_hevc_mv_ripping_mountain_bike_sh_2000
2018,intel_svt_hevc,mv_ripping,mountain_bike_sh,4000,0,3.4701789227113085,enc_res_intel_svt_hevc_mv_ripping_mountain_bike_sh_4000
2018,ks265,mv_ripping,mountain_bike_sh,1000,0,2.2202209798852754,enc_res_ks265_mv_ripping_mountain_bike_sh_1000
2018,ks265,mv_ripping,mountain_bike_sh,2000,0,3.397649978570596,enc_res_ks265_mv_ripping_mountain_bike_sh_2000
2018,ks265,mv_ripping,mountain_bike_sh,4000,0,3.718865434517993,enc_res_ks265_mv_ripping_mountain_bike_sh_4000
2018,sif,mv_ripping,mountain_bike_sh,1000,0,0.0956099881339089,enc_res_sif_mv_ripping_mountain_bike_sh_1000
2018,sif,mv_ripping,mountain_bike_sh,2000,0,1.8849164229067368,enc_res_sif_mv_ripping_mountain_bike_sh_2000
2018,sif,mv_ripping,mountain_bike_sh,4000,0,2.8561670429770287,enc_res_sif_mv_ripping_mountain_bike_sh_4000
2018,sz264,mv_ripping,mountain_bike_sh,1000,0,0.0,enc_res_sz264_mv_ripping_mountain_bike_sh_1000
2018,sz264,mv_ripping,mountain_bike_sh,2000,0,2.694892058787432,enc_res_sz264_mv_ripping_mountain_bike_sh_2000
2018,sz264,mv_ripping,mountain_bike_sh,4000,0,3.17237483587128,enc_res_sz264_mv_ripping_mountain_bike_sh_4000
2018,sz265,mv_ripping,mountain_bike_sh,1000,0,2.0283238711834866,enc_res_sz265_mv_ripping_mountain_bike_sh_1000
2018,sz265,mv_ripping,mountain_bike_sh,2000,0,2.6769593615160225,enc_res_sz265_mv_ripping_mountain_bike_sh_2000
