Reference,Distorted,Metric,Metric_val,Mask,Comparison,Codec,Preset,Sequence,Crf,Real_bitrate,Subjective,Video_name
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,ssim,0.9567,False,2020,kingsoft_v2,mv_offline_2k,blue_hair,33,4800,5.471819074960997,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,ssim,0.9567,False,ugc,kingsoft_v2,mv_offline_2k,blue_hair,33,4799,6.346977572482853,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,ssim,0.9571,True,2020,kingsoft_v2,mv_offline_2k,blue_hair,33,4800,5.471819074960997,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,ssim,0.9571,True,ugc,kingsoft_v2,mv_offline_2k,blue_hair,33,4799,6.346977572482853,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,vmaf,97.889,False,2020,kingsoft_v2,mv_offline_2k,blue_hair,33,4800,5.471819074960997,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,vmaf,97.889,False,ugc,kingsoft_v2,mv_offline_2k,blue_hair,33,4799,6.346977572482853,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,vmaf,97.984,True,2020,kingsoft_v2,mv_offline_2k,blue_hair,33,4800,5.471819074960997,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,vmaf,97.984,True,ugc,kingsoft_v2,mv_offline_2k,blue_hair,33,4799,6.346977572482853,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,niqe,11.144,True,2020,kingsoft_v2,mv_offline_2k,blue_hair,33,4800,5.471819074960997,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,niqe,11.144,True,ugc,kingsoft_v2,mv_offline_2k,blue_hair,33,4799,6.346977572482853,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,niqe,9.2575,False,2020,kingsoft_v2,mv_offline_2k,blue_hair,33,4800,5.471819074960997,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33,niqe,9.2575,False,ugc,kingsoft_v2,mv_offline_2k,blue_hair,33,4799,6.346977572482853,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,psnr,37.715,False,2020,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,5.310090072704031,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,psnr,37.715,False,ugc,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,6.177970683278712,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,psnr,41.845,True,2020,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,5.310090072704031,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,psnr,41.845,True,ugc,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,6.177970683278712,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,ssim,0.9486,False,2020,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,5.310090072704031,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,ssim,0.9486,False,ugc,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,6.177970683278712,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,ssim,0.949,True,2020,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,5.310090072704031,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,ssim,0.949,True,ugc,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,6.177970683278712,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,vmaf,89.477,False,2020,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,5.310090072704031,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,vmaf,89.477,False,ugc,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,6.177970683278712,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,vmaf,89.564,True,2020,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,5.310090072704031,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,vmaf,89.564,True,ugc,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,6.177970683278712,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,niqe,11.162,True,2020,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,5.310090072704031,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,niqe,11.162,True,ugc,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,6.177970683278712,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,niqe,9.3487,False,2020,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,5.310090072704031,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39,niqe,9.3487,False,ugc,kingsoft_v2,mv_offline_2k,blue_hair,39,2449,6.177970683278712,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,psnr,36.411,False,2020,kingsoft_v2,mv_offline_2k,blue_hair,45,1271,4.696344799880416,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,psnr,36.411,False,ugc,kingsoft_v2,mv_offline_2k,blue_hair,45,1272,5.417861161606206,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,psnr,40.636,True,2020,kingsoft_v2,mv_offline_2k,blue_hair,45,1271,4.696344799880416,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,psnr,40.636,True,ugc,kingsoft_v2,mv_offline_2k,blue_hair,45,1272,5.417861161606206,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45,ssim,0.9376,False,2020,kingsoft_v2,mv_offline_2k,blue_hair,45,1271,4.696344799880416,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45
